Stock,Cmp,DailyRSI,WeeklyRSI,onthlyRSI,sector,Ema20,Ema50,%Daily,%Weekly,%Monthly
EIEL	200.86	41.39	39.76	49.18	realty	205.28	214.92	-0.913	-2.85	-2.45
NTPCGREEN	93.95	50.57	42.03	33.84	power & utilities	93.66	95.11	-2.15	-3.25	-0.635
BLACKBUCK	684.5	57.92	60.25	80.55	transportation	666.08	656.14	-1.97	-2.09	0.699
NIVABUPA	74.79	46.63	42.96	49.58	financials	75.21	75.94	-0.24	-0.492	-0.809
ACMESOLAR	230.76	44.19	42.87	42.27	realty	234.42	242.68	-3.3	-4.04	-2.83
SWIGGY	361	31.57	41.05	38.55	i.t	391.92	399.22	-4.6	-6.77	-6.54
SAGILITY	51.72	53.13	59.37	64.68	i.t	51.55	50.25	-0.577	-2.36	-0.577
AFCONS	377.35	37	37.1	37.51	realty	390.03	403.5	-1.35	-3.45	-2.47
WAAREEENER	2634.4	24.1	38.13	48.36	industrials	2942.92	3078.13	-2.94	-8.09	-11.24
HYUNDAI	2306.7	48.31	51.48	64.13	auto	2308.32	2334.39	1.1	1.71	0.379
KRN	730.3	42.56	40.98	63.18	industrials	750.18	777.38	-3.7	-5.17	0.378
ARKADE	133.61	30.08	27.25	44.99	realty	140.77	151.66	-1.4	-2.62	-1.49
NORTHARC	266.84	61.05	55.12	44.68	financials	255.69	258.3	3.68	2.85	7.01
PNGJL	609.6	46.86	48.72	34.47	consumer discretionary	611.99	619.35	0.049	-0.514	0.354
BAJAJHFL	96.95	46.8	28.15	20.24	financials	96.62	100.54	-0.513	0.342	2.78
SANOFICONR	4399.5	37.16	36.2	41.48	healthcare	4543.88	4640.35	-1.24	-4.27	-2.66
RAYMONDLSL	1005.3	41.16	39.95	20.59	textiles	1045.69	1091.24	-0.416	-3	-3.57
PREMIERENE	762.1	18.95	26.99	39.14	services	867.63	927.63	-3.26	-9.91	-9.51
INTERARCH	2181.8	28.28	49.56	65.3	metals & mining	2324.67	2315.06	-2.01	-4.85	-5.46
FIRSTCRY	291.4	45.05	34.95	20.59	consumer discretionary	293.66	310.24	-2.62	0.552	1.57
OLAELEC	43.58	65.96	47.03	23.8	auto	38.15	40.67	-0.797	6.58	20.25
CEIGALL	273.8	75.92	58.21	24.94	realty	256.68	251.13	-0.128	-0.237	1.85
AKUMS	444.8	54.63	43.62	25.61	healthcare	440.67	441.65	-0.57	-1.56	-1.9
BANSALWIRE	305.4	40.88	34.93	45.46	metals & mining	311.28	317.83	-1.04	-1.88	-1.15
EMCURE	1528	68.07	63.45	57.17	healthcare	1420.06	1398.51	2.58	6.79	11.98
ABDL	551.35	29.84	48.56	63.15	fmcg	603.74	606.1	-4.05	-4.94	-10.14
IXIGO	234.95	35.73	45.36	60.68	i.t	251	261.27	0.686	-2.75	-7.84
AWFIS	485	38.93	34.86	52.47	miscellaneous	500.02	526.05	-0.144	-1.8	-1.58
GODIGIT	342.85	44.76	48.08	55.03	financials	346.05	348.8	-2	-1.01	-0.508
TBOTEK	1616.4	42.87	53.77	55.09	i.t	1658.59	1636.64	-1.89	-1.33	-2.78
AADHARHFC	499.7	57.79	54.03	63.29	financials	489.03	491.97	-0.705	-0.17	3.02
INDGN	522.6	46.35	41.79	49.55	healthcare	524.83	530.1	0.355	0.01	0.413
BHARTIHEXA	1788.6	50.99	53.16	68.86	telecom-service	1787.58	1777.64	-1.06	-0.749	-1.82
SCILAL	47.24	49.45	42.47	51.67	services	47.15	47.9	0.191	-2.03	0.962
GOPAL	320.6	51.59	43.11	45.99	fmcg	317.51	326.44	0.219	0.36	2.26
JUNIPER	246.95	44.02	40.95	31.75	services	252.17	255.31	-1.32	-2.22	-2.92
ENTERO	1193.1	74.45	55.96	53.24	healthcare	1046.62	1057.44	7.24	6.19	16.22
RPTECH	398.35	81.44	73.92	59.42	services	354.74	341.24	4.84	10.41	10.98
JSFB	420.15	41.79	39.76	46.31	bank	427.76	440.2	-3.11	-0.779	-1.21
PARKHOTELS	134.95	48.58	38.17	32.99	services	134.82	138.33	-0.509	-0.096	0.671
EPACK	285.85	53.58	41.34	50.76	consumer discretionary	279.84	290.07	-0.366	1.69	1.28
MEDIASSIST	452.6	45.19	41.95	46.88	miscellaneous	458.52	476	-1.27	-3.23	-1.49
JYOTICNC	981.9	54.01	50.67	55.61	industrials	973.97	962.85	-0.178	-1.21	-0.748
INNOVACAP	730.95	52.66	39	51.91	healthcare	721.14	742.36	-0.307	0.8	1.51
SUNCLAY	1268.7	52.47	33.06	42.7	industrials	1243.11	1319.99	3.1	1.03	3.69
AZAD	1649.8	51.59	52.27	63.1	aerospace & defence	1640.47	1637.13	-2.34	-0.181	-0.181
HAPPYFORGE	1172	72.4	73.66	59.99	industrials	1111.51	1063.1	0.128	-1.16	1.99
MUTHOOTMF	185.35	58.77	58.74	47.06	financials	178.21	175.72	-1.4	5.09	4.93
INOXINDIA	1139.7	51.23	48.32	57.27	industrials	1129.98	1149.31	1.46	0.787	0.494
DOMS	2641.7	58.46	54.74	66.9	miscellaneous	2589.02	2563.54	-0.748	-1.2	1.01

